Rank,Website,Proper data collected,Banner,Icon?,Manage,Withdrawal Possible,Rejection Direct,,Revocation Method,Path,Keywords,Comment,Extra comments
22,pixabay.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
23,digicert.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Indirect reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
25,netflix.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
27,ui.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Direct reject option,Suggestive or No revocation,Browser settings and Third-party links,Four steps,profile icon -> site manager -> privacy policy -> Cookies and Other Tracking Technology.,links,
29,yahoo.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
31,adobe.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
32,vimeo.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Direct reject option,Suggestive or No revocation,Browser settings and Third-party links,One step,cookies -> Changing Your Cookie Preferences,,
33,cloudflare.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,Cookie Preferences,,
34,spotify.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
37,bit.ly,TRUE,Banner,Footer,Indirect manage options,Withdrawal possible,Direct reject option,Other Page,Buttons or links on other pages for popup,Two steps,,,
38,msn.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal possible,Direct reject option,Other Page,Banner on other pages,One step,,,
59,tumblr.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Indirect reject option,Suggestive or No revocation,After Login,Three steps,Privacy -> Privacy Policy ->  privacy settings -> Login page,,
64,zoom.us,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
68,fastly.net,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Direct reject option,Suggestive or No revocation,Browser settings and Third-party links,Three steps,Privacy Policy -> cookie Policy -> you may opt-out by clicking here,,
71,nytimes.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
73,flickr.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
82,criteo.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
87,forbes.com,TRUE,Banner,Icon,Direct manage options,Withdrawal possible,Direct reject option,Icon,Icon,Zero steps,,,
89,soundcloud.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
91,cnn.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
92,unity3d.com,TRUE,Banner,Icon,Direct manage options,Withdrawal possible,Direct reject option,Icon,Icon,Zero steps,,,
95,theguardian.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
101,applovin.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
102,sciencedirect.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Indirect reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
104,bbc.co.uk,TRUE,Banner,Footer,Indirect manage options,Withdrawal possible,Direct reject option,Other Page,Banner on other pages,One step,,,
109,bbc.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal possible,Direct reject option,Other Page,Banner on other pages,One step,,,
110,sourceforge.net,TRUE,No Banner,Footer,Direct manage options,Withdrawal possible,No Banner,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
122,researchgate.net,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,Consent Preferences,,
127,twitch.tv,TRUE,Banner,Icon,Direct manage options,Withdrawal possible,Direct reject option,Icon,Icon,Zero steps,,,
128,issuu.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal possible,Direct reject option,Other Page,Buttons or links on other pages for settings,Two steps,,,
130,tinyurl.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Indirect reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
138,weebly.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
139,reuters.com,TRUE,Banner,Icon,Direct manage options,Withdrawal possible,Direct reject option,Icon,Icon,Zero steps,,,
142,dailymail.co.uk,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Indirect reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
144,washingtonpost.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Direct reject option,Suggestive or No revocation,Browser settings and Third-party links,Two steps,Privacy Policy -> Cookie notice,,
